Type,Number,Name,End Item,Phantom,Trace Code,Generic Type,Service Kit,Serviceable,Assembly Mode,Location,Organization ID,Revision,View,State,Lifecycle,Source,Default Unit,Gathering Part,Collapsible,Belt Length,Part Cost,Part Classification,Material,_is_helicopter
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_827,SHELL_827,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_831,SHELL_831,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_563,SHELL_563,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_828,SHELL_828,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_736,SHELL_736,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_746,SHELL_746,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_735,SHELL_735,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_415A,SHELL_415A,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_730,SHELL_730,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,SHELL_613,SHELL_613,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_835,SHELL_835,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
