Revision,State,_part_number,_part_name
Revision,State,Number,Name
1,RELEASED,61100886,MGB FORWARD STRUT ASSEMBLY
1,DESIGN,6TJG1A0280-M831_3,PDR ROTARY SHAFT SEAL
1,RELEASED,61100354,TAIL ROTOR BLADE ROOT (DEMO)
1,RELEASED,6BS1806-036-01,O SEAL 60.04 ID x 1
1,RELEASED,6HX50-FRONT-DOORS-INNERS-CAR,HX50-PTC-FRONT-DOORS-INNERS-CAR
1,RELEASED,6_SKF_6215_PART1,SKF_6215_PART1
1,DESIGN,61105732-BRG-RETAINER-2,1105732-brg-retainer-2
1,RELEASED,6SKF_QJ_206_MA_1,FOUR-POINT CONTACT BALL BEARING
1,RELEASED,6BS1806-282-01,O SEAL 405.26 ID x 3
1,DESIGN,61105732-SPH-BRG-1,1105732-sph-brg-1
1,RELEASED,6TRELLEBORG_TRAA00360-N7MM-6,TRELLEBORG_TRAA00360-N7MM-6
1,RELEASED,6BS1806-020-01,O SEAL 21.95 ID x 1
1,RELEASED,61103248,SPACER
1,RELEASED,6HX50-CABIN-GLAZING-NO-TINT,HX50-PTC-CABIN-GLAZING-NO-TINT
1,RELEASED,61100840,MGB ROTOR MAST
1,RELEASED,TOP_ROTOR_ASSY,TOP ROTOR ASSEMBLY
1,DESIGN,61105732-SHIM-1,1105732-shim-1
1,RELEASED,6NL6,Washer
1,RELEASED,61100362,TAIL ROTOR STATOR HUB (DEMO)
1,DESIGN,61105732-SLEEVE-2,1105732-sleeve-2
1,DESIGN,61105732-PINION-HSG,1105732-pinion-hsg
1,RELEASED,STL-6PRODUCT_8777,STL-PRODUCT_8777
1,RELEASED,6SKF_61803,DEEP GROOVE BALL BEARING
1,DESIGN,61104260,SHAFT LOCKING CUPWASHER 0
1,RELEASED,6MB_9,M45 BEARING LOCKWASHER
1,RELEASED,6SHELL_557,SHELL_557
1,RELEASED,6NAS6610C21,BOLT- HEX HEAD
1,RELEASED,6NAS1351-3-28P,"SCREW, CAP, SOCKET HEAD, 0.1900-32 UNRF-3A THREAD, 1"
1,RELEASED,STL-6SHELL_415A,STL-SHELL_415A
1,RELEASED,6BS1806-022-01,O SEAL 25.12 ID x 1
1,DESIGN,6PDD100200-M12T,pdd100200-m12t
1,RELEASED,WHEEL_LINK2,WHEEL LINK2
1,RELEASED,6HX50-ENGINE-INTAKE-CHROME-0,HX50-PTC-ENGINE-INTAKE-CHROME-0
1,RELEASED,FR_WHEEL_TIRE.IPT,FR_WHEEL_TIRE.ipt
1,RELEASED,61100825,MGB UPPER CASING
1,RELEASED,601_TGB_ASSY,REAR TAIL ASSEMBLY
1,RELEASED,6_SKF_6215_PART4,SKF_6215_PART4
1,DESIGN,6MS14101-4-2,BALL
1,RELEASED,WHEEL_BEARING_01,WHEEL BEARING 01
1,RELEASED,6HX50-HEADSETS-CHROME-040323,HX50-PTC-HEADSETS-CHROME-040323
1,RELEASED,6_SKF_N_205_ECP_PART2,SKF_N_205_ECP_PART2
1,RELEASED,6SHELL_836,SHELL_836
1,RELEASED,6_SKF_NU_208_ECP_PART4,SKF_NU_208_ECP_PART4
1,RELEASED,6HX50-CAGE-LIGHTS-WHITE-0403,HX50-PTC-CAGE-LIGHTS-WHITE-0403
1,RELEASED,PCB_BUTTON,pcb button
1,RELEASED,0050226,"Icon, Reverse"
1,RELEASED,0050225,"Icon, Parking Brake"
1,RELEASED,6_SKF_QJ_206_MA_PART3,SKF_QJ_206_MA_PART3
1,RELEASED,6SHELL_611,SHELL_611
1,DESIGN,6AN4C5A,"BOLT- HEX HEAD, 0.2500-28 UNF, 0.188 GRIP, 0"
1,RELEASED,0050215,Center Button
1,RELEASED,6-OTS-0001024,Ferrite Bead 150 Ohm 800mA
1,RELEASED,6HX50-CABIN-GLAZING-LIGHT-TI,HX50-PTC-CABIN-GLAZING-LIGHT-TI
1,RELEASED,61100343,FLEXI PLATE
1,RELEASED,6HX50-HORIZONTAL-STABILISERS,HX50-PTC-HORIZONTAL-STABILISERS
1,RELEASED,0050220,"Icon, Low Oil"
1,RELEASED,6NU_1015_ML,CYLINDRICAL ROLLER BEARING
1,RELEASED,6BS1806-018,OSEAL 18.77 ID x 1
1,RELEASED,6SHELL_733,SHELL_733
1,RELEASED,6YF2A1X-XXXXXXXLEAX-S222869,YF2A1X-XXXXXXXLEAX-S222869
1,RELEASED,61103242,END PLATE
1,RELEASED,0050209,HELICOPTER MESSAGE-CENTER (MC) GAUGE
1,RELEASED,6-OTS-0001027,Expansion Header
1,RELEASED,6SHELL_734,SHELL_734
1,RELEASED,6HX50-NAV-LIGHTS-CHROME-0303,HX50-PTC-NAV-LIGHTS-CHROME-0303
1,RELEASED,6KM_16,M80 BEARING LOCKNUT
1,RELEASED,6WASHER_ISO_7089-10-A_200,M10 PLAIN WASHER
1,RELEASED,6PRODUCT_71499,PRODUCT_71499
1,RELEASED,6NAS1351C08-8G,"SCREW, CAP, SOCKET HEAD"
1,RELEASED,RR_WHEEL_ASSY,RR_WHEEL_ASSY
1,RELEASED,6-OTS-0001063,IC REG LDO CAP FREE 8-SON
1,RELEASED,6AN315-10,"STEEL NUT, 0"
1,DESIGN,61104188,SHAFT LOCKNUT 0
1,RELEASED,6HX50-WOLFSHEAD-DARK-LEATHER,HX50-PTC-WOLFSHEAD-DARK-LEATHER
1,RELEASED,6BS1806-049-01,O SEAL 126.72 ID x 1
1,RELEASED,6SHELL_644,SHELL_644
1,RELEASED,6NL3_8SS_IN,"NORD-LOCK WASHER 3/8"" ST/ST NL3/8""SS"
1,RELEASED,6KMFE_24,M120 BEARING LOCKNUT WITH INTEGRAL LOCKING
1,RELEASED,6PRODUCT_148384,PRODUCT_148384
1,RELEASED,6KOPIE_VON_IMA12_B_C_K_3D-MA,KOPIE_VON_IMA12_B_C_K_3D-MA
1,DESIGN,61105732-GUIDE-SHAFT,1105732-guide-shaft
1,RELEASED,61100839,MGB PUMP DRIVE GEAR NOT HARDENED
1,DESIGN,6S7000-CD-P4ADGA_2,s7000-cd-p4adga_2
1,RELEASED,6SHELL_841,SHELL_841
1,RELEASED,6_SKF_61803_PART3,SKF_61803_PART3
1,RELEASED,WHEEL_SUPPORT1.IPT,WHEEL_SUPPORT1.ipt
1,RELEASED,6HX50-PEDAL-ARMS-BRUSHED-MET,HX50-PTC-PEDAL-ARMS-BRUSHED-MET
1,DESIGN,61404262-05,"ASSEMBLY, CHIP DETECTOR AND SELF-CLOSING VALVE"
1,RELEASED,6_SKF_NU_1015_ML_PART2,SKF_NU_1015_ML_PART2
1,RELEASED,6NAS603-10P,"SCREW, MACHINE, PAN HEAD, CRUCIFORM RECESS, FULL THREAD"
1,RELEASED,6_SKF_61803_PART1,SKF_61803_PART1
1,DESIGN,6EH-62-S16,eh-62-s16
1,RELEASED,6HX50-HEADSETS-BLACK-PLASTIC,HX50-PTC-HEADSETS-BLACK-PLASTIC
1,RELEASED,6SKF_61804,DEEP GROOVE BALL BEARING
1,RELEASED,0050210,Gauge Panel
1,DESIGN,6NAS76A4-019,"UNLINED STRAIGHT BUSHING, 0.2500"" ID, 0"
1,RELEASED,6RSR55MM,"ROUND SNAP RING 55mm SHAFT, 3"
1,RELEASED,WHEEL_CLIP_01.IPT,WHEEL_CLIP_01.ipt
1,RELEASED,6DNS-75,EXTERNAL RETAINING RING 75mm SHAFT ST/ST
1,DESIGN,6N206-ECP_1,N206-ECP
1,RELEASED,0050227,"Icon, Security"
1,DESIGN,6TJG1A0280-M831_2,PDR ROTARY SHAFT SEAL
1,RELEASED,6MINTOR_TSCM-F1M,MAGNETIC DRAIN PLUG
1,RELEASED,6_SKF_QJ_224_N2MA_PART3,SKF_QJ_224_N2MA_PART3
1,DESIGN,6MS14101-4,ms14101-4
1,RELEASED,0048722,STL-ENGINE-COVER-RH-BODY
1,RELEASED,0050230,Set Button
1,RELEASED,6SHELL_737,SHELL_737
1,RELEASED,61103234,TAIL ROTOR STATOR MOUNT
1,RELEASED,6HX50-NAV-LIGHTS-RED-030323H,HX50-PTC-NAV-LIGHTS-RED-030323H
1,RELEASED,6_SKF_3200_A-2RS1TN9_MT33_PART1,SKF_3200_A-2RS1TN9_MT33_PART1
1,RELEASED,CONN_16PIN,conn_16pin
1,RELEASED,61103244,BALL STUD
1,RELEASED,0048715,STL-PYLON-RH-BODY
1,RELEASED,6TRELLEBORG_TRAA00280-N7MM,RADIAL OIL SEAL 28 x 40 x 7
1,RELEASED,6HX50-SEATS-BELTS-MATCHING-L,HX50-PTC-SEATS-BELTS-MATCHING-L
1,DESIGN,6TJG1A0420-M831_1,PDR ROTARY SHAFT SEAL
1,RELEASED,0050275,ribbon_cable
1,RELEASED,WHEEL_NUT_M18,WHEEL_NUT_M18
1,RELEASED,6HX50-STROBE-LIGHT-INNER-CHR,HX50-PTC-STROBE-LIGHT-INNER-CHR
1,RELEASED,6HX50-TAIL-LIGHT-SHIELD-CHRO,HX50-PTC-TAIL-LIGHT-SHIELD-CHRO
1,RELEASED,STL-6SHELL_414A,STL-SHELL_414A
1,RELEASED,6SHELL_834,SHELL_834
1,RELEASED,6HX50-IDEVICES-BRUSHED-METAL,HX50-PTC-IDEVICES-BRUSHED-METAL
1,DESIGN,61105732-CASING-MC,1105732-casing-mc
1,RELEASED,6NL4SPSS_IN,NORD-LOCK ENLARGED DIA
1,RELEASED,61100896,MGB OIL GAUGE ADAPTOR
1,RELEASED,6MINTOR_1MTSF10M,OIL FILLER / BREATHER
1,RELEASED,6SHELL_838,SHELL_838
1,RELEASED,0050276,self_tapping_screw_m3x6
1,RELEASED,6-OTS-0001036,Standard LED - SMD Green Clear 569nm
1,DESIGN,MC-6HX50-MAIN-ROTOR-BLADES,mc-6hx50-main-rotor-blades
1,RELEASED,61100331,ACTUATOR ROD
1,RELEASED,6HX50-MAIN-ROTOR-BLADE-TIPS,HX50-PTC-MAIN-ROTOR-BLADE-TIPS
1,RELEASED,0050217,"Gauge Panel, Back Cover"
1,RELEASED,6_SKF_61803_PART2,SKF_61803_PART2
1,RELEASED,6FUSELAGE-BODY-COLOUR-0-RT,TAIL ROTOR STAND FOAM
1,RELEASED,6NL5SP_IN,NORD-LOCK ENLARGED DIA
1,RELEASED,RR_WHEEL_COVER_RH,RR WHEEL COVER RH
1,RELEASED,6-OTS-0001046,Resistor 100Kohm 1/16W 1%
B,PRODUCTIONCHANGE,61103245,END CAP
1,RELEASED,6SHELL_589,SHELL_589
1,RELEASED,6_SKF_QJ_310_MA_PART2,SKF_QJ_310_MA_PART2
